Fecha,Angol,Carahue,Chol-Chol,Collipulli,Cunco,Curacautín,Curarrehue,Ercilla,Freire,Galvarino,Gorbea,Lautaro,Loncoche,Lonquimay,Los Sauces,Lumaco,Melipeuco,Nueva Imperial,Padre Las Casas,Perquenco,Pitrufquén,Pucón,Purén,Renaico,Saavedra,Temuco,Teodoro Schmidt,Toltén,Traiguén,Victoria,Vilcún,Villarrica
02 de Mayo,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,6,5,0,0,0,0,0,0
03 de Mayo,1,4,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,2,1,0
04 de Mayo,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0
05 de Mayo,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,4,6,0,0,0,1,0,0
06 de Mayo,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,3,1
07 de Mayo,2,1,0,0,0,0,0,0,0,0,1,4,0,3,0,1,0,-1,1,0,0,1,0,1,0,7,0,0,0,1,1,0
08 de Mayo,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,8,0,0,0,1,0,0
09 de Mayo,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,3,4,0,0,0,0,2,0
10 de Mayo,2,0,0,0,0,0,0,0,2,0,0,7,0,3,0,0,0,1,0,0,0,0,0,0,5,16,0,0,0,0,0,0
11 de Mayo,2,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0
12 de Mayo,1,-1,0,0,0,-1,0,0,3,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,1,1,0
13 de Mayo,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,5,0,0,0,0,2,0
